date	population	hypo
1970	8793
1971	9530
1972	10102
1973	10344
1974	11326
1975	13880
1976	16809
1977	18963
1978	19794
1979	19995
1980	19692
1981	21575
1982	26161
1983	27717	29127
1984	26471	30059
1985	28310	31016
1986	29712	32059
1987	32764	33120
1988	33681	34156
1989	38059	34553
1990	42733	34848
1991	46233	34309
1992	47012	34232
1993	50603	34022
1994	56052	34697
1995	61992	35373
1996	64333	36029
1997	64713	36782
1998	66280	37501
1999	68599	38305
2000	71233	39956
2001	72007	40829
2002	73553	41687
2003	77316	42679
2004	81974	43792
2005	84901	44796
2006	88576	45873
2007	92844	46701
2008	98192	47018
2009	100894	46876
2010	102232	46929
2011	102319	47263
2012	100527	47686
2013	100884	48149
2014	100942	48768
2015	100050	49538
2016	99119	50678
