circuit	white	latino	black
15	177.12	51.15	1197.17
17	276.99	55.49	1198.83
11	174.00	32.63	1226.48
9	301.46	176.61	1389.07
20	313.94	103.66	2045.25
13	351.65	234.77	2076.21
2	437.32	144.41	2267.83
3	802.55	188.93	2326.89
10	592.99	295.92	2327.67
Florida Avg	437.44	176.72	2388.29
1	448.86	132.58	2454.63
18	435.05	164.58	2512.35
7	462.92	157.86	2517.35
4	512.70	197.78	2533.05
14	930.91	285.69	2589.56
5	487.32	299.54	2676.32
8	424.19	94.89	2880.66
12	363.52	243.36	2884.21
6	436.48	223.60	3107.75
16	449.61	134.60	3451.65
19	369.20	316.40	4102.88
